Asset,"Reported Issues",Added
282989,"missing for baterry","2019-11-08 17:25:08"
287221,"BAD INSIDE","2019-11-08 17:25:43"
284767,"back case broken , missing button ","2019-11-08 17:35:52"
277681,"PRESSURE MARK MINOR","2019-11-08 17:40:12"
284677,"CRACKET INSIDE","2019-11-08 18:29:32"
284677,"Case Crack, Cracked battery","2019-11-08 18:38:02"
161560,REPLACEMENT,"2019-11-08 18:43:49"
284670,"Case Crack","2019-11-08 18:53:32"
515832,"No ASIN","2019-11-08 18:57:21"
277416,"Case Chip","2019-11-08 19:04:28"
182813,"power dies. Many dents.","2019-11-08 19:09:07"
182813,"many dents and power does not come on","2019-11-08 19:09:25"
506574,"case dent coner severe","2019-11-08 21:07:25"
506574,"case dent coner severe","2019-11-08 21:08:56"
284533,"missing for battery","2019-11-08 21:10:59"
299712,"BAD KEYBOARD","2019-11-11 14:05:59"
299735,"worn keyboard","2019-11-11 14:16:33"
299458,"missing key","2019-11-11 14:23:22"
299753,"worn keyboard","2019-11-11 14:25:09"
299740,"missing keyboard","2019-11-11 14:27:32"
299738,"worn keyboard","2019-11-11 14:31:41"
162305,"case dent","2019-11-11 14:38:11"
284530,"pressure mark","2019-11-11 16:38:11"
181215,"Broken USB Port","2019-11-11 16:43:41"
162580,"Pressure Marks","2019-11-11 17:06:49"
291575,"Pressure Marks","2019-11-11 17:19:16"
162589,"Pressure Marks","2019-11-11 17:28:12"
284568,"Pressure Marks","2019-11-11 17:41:41"
284523,"Pressure Marks","2019-11-11 17:45:04"
162557,"SCREEN CRACK","2019-11-11 18:26:20"
198736,"Pressure Mark","2019-11-11 19:37:55"
299697,"Pressure Marks","2019-11-11 19:39:43"
506578,Computrace,"2019-11-11 20:20:04"
299750,"Pressure Mark","2019-11-11 20:38:25"
287264,copytray,"2019-11-11 20:42:47"
287264,computrace,"2019-11-11 20:47:22"
299679,computrace,"2019-11-11 20:56:48"
299650,computrace,"2019-11-11 20:57:13"
299745,computrace,"2019-11-11 20:57:29"
506590,computrace,"2019-11-11 20:59:36"
506580,computrace,"2019-11-11 20:59:49"
506583,computrace,"2019-11-11 21:00:03"
299739,computrace,"2019-11-11 21:00:57"
299639,computrace,"2019-11-11 21:01:08"
506579,computrace,"2019-11-11 21:01:20"
299757,computrace,"2019-11-11 21:02:18"
299711,computrace,"2019-11-11 21:02:30"
299676,computrace,"2019-11-11 21:02:47"
299682,computrace,"2019-11-11 21:03:47"
299743,computrace,"2019-11-11 21:04:04"
299759,computrace,"2019-11-11 21:04:23"
299678,computrace,"2019-11-11 21:05:09"
506585,computrace,"2019-11-11 21:05:22"
299744,computrace,"2019-11-11 21:05:36"
299699,computrace,"2019-11-11 21:06:42"
299723,computrace,"2019-11-11 21:07:33"
299675,computrace,"2019-11-11 21:17:10"
299629,computrace,"2019-11-11 21:17:22"
299671,computrace,"2019-11-11 22:01:17"
299671,computrace,"2019-11-11 22:01:33"
299690,computrace,"2019-11-11 22:01:56"
299736,computrace,"2019-11-11 22:02:18"
296770,"bad face","2019-11-12 14:19:33"
297091,"Bad Face, Doesn't PXE boot","2019-11-12 14:23:28"
191696,"Doesn't POST","2019-11-12 14:56:33"
295509,"dent case ","2019-11-12 15:00:44"
200167,"BAD CASE","2019-11-12 15:48:31"
200167,"BAD CASE","2019-11-12 15:48:51"
287234,"worn keyboard","2019-11-12 16:18:51"
299471,"Pressure mark","2019-11-12 16:27:36"
299482,dent,"2019-11-12 17:33:32"
291576,"Bad Touchpad, Pressure marks","2019-11-12 20:38:34"
273078,"Pressure Marks","2019-11-12 21:34:49"
295531,"Pressure Marks","2019-11-12 21:37:39"
295534,"Pressure Mark","2019-11-12 21:40:31"
283053,"pressure marks","2019-11-12 22:05:43"
296726,"bad face","2019-11-13 17:40:40"
297136,"bad face","2019-11-13 17:43:51"
181840,"bios lock","2019-11-13 18:05:28"
296733,"case dent severe","2019-11-13 20:20:44"
295302,"jumper problem","2019-11-13 20:27:04"
167229,"case dent severe","2019-11-13 20:36:05"
296825,"DENT CASE","2019-11-14 16:25:35"
296341,"CASE DENT SEVERE","2019-11-14 20:02:00"
297245,"Rear Fan Failure","2019-11-14 20:16:31"
294822,"BAD CASE","2019-11-14 21:03:15"
294802,DEAD,"2019-11-14 22:28:09"
520666,"BAD FACE","2019-11-15 14:24:21"
520641,"BAD FACE","2019-11-15 14:29:00"
520498,"BAD FACE IN SILVER....   ESTA MALO EN LO GRIS ","2019-11-15 14:55:12"
520598,"BAD FACE","2019-11-15 14:55:24"
520669,"BAD FACE","2019-11-15 14:59:18"
520563,"bad case in  silver ","2019-11-15 15:16:02"
520652,"bad case","2019-11-15 15:29:10"
520570,"BAD FACE IS BROKEN...... LA CARA ESTA QUEBRADA","2019-11-15 15:35:15"
520653,"BAD FACE IN SILVER","2019-11-15 15:37:04"
520611,"BEN FIXES","2019-11-15 15:39:54"
520638,"BAD FACE","2019-11-15 15:44:46"
520622,"BAD FACE","2019-11-15 15:53:41"
520586,"BAD FACE","2019-11-15 15:55:57"
520582,"BAD FACE","2019-11-15 15:57:43"
520488,"bad case ","2019-11-15 15:59:19"
520596,"BAD FACE","2019-11-15 16:26:12"
520583,"BAD FACE","2019-11-15 16:28:38"
520668,"BAD FACE","2019-11-18 17:25:06"
512961,"Worn Keyboard, worn trackpad, minor case scratch","2019-11-18 21:38:21"
527741,"SCREEN BROKEN ","2019-11-19 14:28:28"
525033,"MISSING BATTERY","2019-11-19 14:36:55"
198937,"defective fiasch screen","2019-11-19 14:49:12"
527255,"bad face","2019-11-19 15:31:03"
520526,"bad face","2019-11-19 17:41:45"
520573,"BAD FACE ","2019-11-20 15:48:53"
198860,"Case Crack","2019-11-20 16:31:24"
199418,"Worn keyboard","2019-11-20 20:21:23"
525033,"worn keyboard, no display","2019-11-20 20:41:37"
142806,"Can't read HDD","2019-11-20 21:07:15"
524951,"Pressure mark","2019-11-21 14:41:14"
525074,"Doesn't PXE boot","2019-11-21 15:06:14"
525068,"Doesn't PXE Boot","2019-11-21 15:11:13"
518095,"Bad battery, Missing bottom, BIOS Lock","2019-11-21 17:25:15"
193888,"Sever case dent and crack","2019-11-21 17:26:38"
296260,"Defective fan","2019-11-21 21:08:47"
527142,"Can't read the hard drive","2019-11-21 21:09:55"
291560,"Bad Face","2019-11-21 21:43:37"
296355,"case dent severe","2019-11-22 14:43:19"
279317,"IS i3","2019-11-22 14:48:40"
296317,"cra ckacked face plate","2019-11-22 14:57:18"
279316,"DENT CASE","2019-11-22 15:17:15"
142322,"can't read hard drive","2019-11-22 15:20:09"
297797,"WRONG PROCESSOR","2019-11-22 15:23:26"
519033,"scratch face","2019-11-22 15:34:45"
275523,"wrong process","2019-11-22 15:47:18"
297089,"case dent severe","2019-11-22 15:50:12"
527137,"case dent severe","2019-11-22 17:45:00"
142327,"BROKER CASE ","2019-11-22 18:22:00"
518946,"DENT CASE","2019-11-22 20:15:24"
200353,"Case dent, screen scratch","2019-11-22 20:36:55"
199048,"Case scratch severe","2019-11-22 21:46:32"
198862,"Case discolor, worn keyboard","2019-11-22 22:01:24"
519053,"bad psu","2019-11-25 14:29:13"
199028,"Pressure Mark","2019-11-25 16:58:07"
291578,"Damaged USB Cable","2019-11-25 18:45:31"
520776,"Case scratch ","2019-11-25 22:05:34"
520546,"Intermittent display issues","2019-11-26 14:35:27"
197682,"Doesn't read HDD","2019-11-26 16:11:00"
520660,"Case dent corner","2019-11-26 17:52:53"
296785,"Case dent severe","2019-11-26 17:55:10"
531209,"DENT CASE","2019-11-26 18:17:46"
297089,"Case dent corner","2019-11-26 18:23:43"
520619,"Rear fan failure","2019-11-26 21:19:14"
520619,"Pressure mark","2019-11-26 21:22:04"
275448,"Pressure mark","2019-11-27 15:00:31"
283301,"Pressure Mark","2019-11-27 15:10:53"
275458,"Pressure Mark","2019-11-27 15:23:41"
283163,Dead,"2019-11-27 15:23:58"
282998,"Broken USB port","2019-11-27 16:13:15"
283026,"Pressure Mark","2019-11-27 16:13:32"
275447,"Doesn't read HDD","2019-11-27 16:25:28"
277416,"Pressure mark","2019-11-27 18:01:02"
295537,"Pressure mark","2019-11-27 18:01:13"
295567,"Pressure mark","2019-11-27 18:01:25"
295555,"Pressure mark","2019-11-27 18:09:58"
282935,"Pressure mark","2019-11-27 20:20:57"
295603,"Pressure mark","2019-11-27 20:38:37"
295551,"Pressure mark","2019-11-27 20:45:24"
295604,"Pressure mark","2019-11-27 20:45:33"
295563,"Bad charging port","2019-11-27 20:58:51"
295519,"Pressure mark","2019-11-27 21:21:09"
295554,"Pressure mark","2019-11-27 21:22:17"
518730,BROKEN,"2019-11-27 22:06:06"
518586,"BAD BATTERY","2019-11-27 22:11:09"
518616,"bad screen ","2019-11-27 22:15:55"
518549,"BROKEN CASE","2019-12-02 14:13:53"
518614,"bad screen","2019-12-02 14:23:07"
518550,"SCREEN BAD","2019-12-02 14:24:08"
536751,"BAD SCREEN","2019-12-02 14:28:30"
518563,"BAD CASE","2019-12-02 14:32:40"
531175,"CASE SCRATCH SEVERE","2019-12-02 14:34:58"
518604,"dab screen","2019-12-02 14:41:43"
538196,"FACE SCRATCH SEVERE","2019-12-02 14:42:03"
162601,"CASE DENT SEVERE","2019-12-03 14:54:10"
536657,"case dent severe","2019-12-03 19:41:57"
