Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
545367,034645663153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:30:26"
545212,025877654153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:32:20"
545366,032280654053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:34:38"
545292,028206354053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:38:30"
545211,043269464853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:42:11"
545238,037168354053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:42:11"
545238,037168354053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:42:21"
545224,040695461853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:44:45"
545221,042050354053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:45:08"
545221,042050354053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:45:29"
545367,034645663153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:48:06"
545225,022620254153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:52:54"
545310,006387461853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:53:29"
545202,015686263253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:56:48"
547131,036757754353,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:01:45"
547131,036757754353,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:01:57"
545195,014302462353,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:06:21"
545202,015686263253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:07:52"
545337,023024362753,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:09:32"
545362,040595561853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:10:47"
545362,040595561853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:10:53"
545409,026166761853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:16:42"
545409,026166761853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:16:50"
545332,014020754353,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:17:24"
545309,057751361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:19:49"
545309,057751361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:19:57"
545264,000710664757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:25:43"
545309,057751361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:26:05"
545267,003530364457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:28:35"
545192,001506264757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:30:23"
545194,003621264457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:41:23"
545285,026317272557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:46:09"
545266,003627364457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:51:13"
545423,001250663757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 18:55:43"
545438,004271763657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 19:00:13"
545191,010272272557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 19:13:16"
545437,000680764757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 19:27:07"
545422,013668464657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 19:34:05"
545247,003587564457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 19:39:10"
545266,003627364457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 19:40:47"
545421,001566362857,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 19:42:56"
545269,000669764757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 19:54:29"
545421,001566362857,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 19:59:15"
545261,008750164357,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:14:49"
545250,003470764457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:20:44"
545451,001334363757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:25:11"
545451,001334363757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:27:28"
545427,001274763757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:28:08"
545427,001274763757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:28:16"
545462,000833764757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:35:46"
545425,001664464757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:39:00"
545427,001274763757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:45:37"
545427,001274763757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:45:59"
545427,001274763757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:46:08"
545427,001274763757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:46:10"
545331,000260664757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:48:13"
545331,000260664757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 20:48:16"
545326,026298172557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 21:06:25"
545405,023041462753,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 21:27:36"
545189,001430664757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 21:36:12"
545331,000260664757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 21:42:28"
545190,001863364757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 21:43:08"
545263,026494372557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 21:44:14"
545263,026494372557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 21:44:28"
545193,010196463657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 21:54:22"
545190,001863364757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 22:05:34"
545262,012662464657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 22:07:46"
545188,009344164357,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 22:11:26"
545252,007399764357,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 22:12:19"
545385,031747654053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:37:53"
545199,078279261853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:40:07"
545199,078279261853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:41:12"
545349,042061154053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:41:21"
545242,067720661853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:41:35"
545411,031274454053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:41:50"
545411,031274454053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:41:59"
545374,028385254053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:42:08"
545411,031274454053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:42:18"
545242,067720661853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:42:29"
545349,042061154053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:42:38"
545415,000484564757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:55:05"
545265,026376472557,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:55:22"
545286,003356464457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:55:42"
545286,003356464457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:55:55"
545245,003665164457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:56:05"
545185,013766564657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:56:20"
545329,003650764457,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:56:37"
545444,000777764757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:56:54"
545453,010748163657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:57:11"
545439,010197363657,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-12 14:57:55"
