ASIN,Asset,Model,"Form Factor",CPU,Price,Added
B079QB4P6S,180761,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:28:51"
B079QB4P6S,180762,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:31:34"
B079QB4P6S,180764,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:31:10"
B079QB4P6S,180765,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:26:50"
B079QB4P6S,180766,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:21:53"
B079QB4P6S,180767,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:23:04"
B079QB4P6S,180770,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:24:50"
B079QB4P6S,180772,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:25:12"
B079QB4P6S,180774,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:28:01"
B079QB4P6S,180775,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:18:37"
B079QB4P6S,180776,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:23:24"
B079QB4P6S,180778,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:19:20"
B079QB4P6S,180779,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:24:29"
B079QB4P6S,180780,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:22:20"
B079QB4P6S,180781,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:21:31"
B079QB4P6S,180782,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:26:28"
B079QB4P6S,180783,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:23:45"
B079QB4P6S,180786,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:20:19"
B079QB4P6S,180787,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:24:08"
B079QB4P6S,180788,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:18:15"
